id,publisher,title,link,publish_details,content
31,The Hindu,Wilhelmsen Ship Management expands India office by adding two ...,https://www.thehindu.com/business/wilhelmsen-ship-management-expands-india-office-by-adding-two-new-functions-to-hire-more/article67566454.ece,,
32,The Hindu,Union Minister Giriraj Singh asks Bihar CM Nitish to ban 'halal ...,https://www.thehindu.com/news/national/other-states/union-minister-giriraj-singh-asks-bihar-cm-nitish-to-ban-halal-products-in-state/article67565055.ece,,
33,The Hindu,A sari collection on Indian goddesses with a side of martial arts - The ...,https://www.thehindu.com/life-and-style/fashion/a-sari-collection-on-indian-goddesses-with-a-side-of-martial-arts/article67557342.ece,,
34,The Hindu,Govindan accuses Governor of orchestrating a Sangh Parivar-UDF ...,https://www.thehindu.com/news/national/kerala/govindan-accuses-governor-of-orchestrating-a-sangh-parivar-udf-tie-up-to-control-state-universities/article67565495.ece,,
35,The Hindu,"India growing faster owing to structural and bold reforms, says ...",https://www.thehindu.com/news/cities/Coimbatore/india-growing-faster-owing-to-structural-and-bold-reforms-says-governor-rn-ravi/article67566368.ece,,
36,The Hindu,Chinese Premier Li calls for practical steps to implement consensus ...,https://www.thehindu.com/news/international/chinese-premier-li-calls-for-practical-steps-to-implement-consensus-reached-at-new-delhi-summit-of-g20/article67564901.ece,,
37,The Hindu,"ISRO invites scientists, engineers and academia for capacity ...",https://www.thehindu.com/news/national/karnataka/isro-invites-scientists-engineers-and-academia-for-capacity-building-in-space-based-disaster-management-support/article67565561.ece,,
38,The Hindu,How Bengaluru band Savaari's anthem resonated with Team India's ...,https://www.thehindu.com/entertainment/music/bangalore-savaari-music-band-cricket-world-cup/article67563318.ece,,
39,The Hindu,,,,
40,The Hindu,"Congress puts up united front, urges Rajasthan voters to break ...",https://www.thehindu.com/elections/rajasthan-assembly/congress-puts-up-united-front-urges-rajasthan-voters-to-break-tradition-by-voting-for-the-incumbent-government/article67567244.ece,,
41,The Hindu,Indian govt. has asked Google to take down over 1.1 lakh content ...,https://www.thehindu.com/sci-tech/technology/indian-govt-has-asked-google-to-take-down-over-11-lakh-content-since-2013-report/article67565272.ece,,
42,The Hindu,L&T Finance signs financing pact with ADB for $125 million - The ...,https://www.thehindu.com/business/lt-finance-signs-financing-pact-with-adb-for-125-million/article67566703.ece,,
43,The Hindu,Rajasthan set to break tradition by repeating Congress government ...,https://www.thehindu.com/elections/rajasthan-assembly/rajasthan-set-to-break-tradition-by-repeating-congress-government-says-mallikarjun-kharge/article67565629.ece,,
44,The Hindu,Ayurvedic products not part of India-U.K. FTA dialogue - The Hindu,https://www.thehindu.com/news/national/ayurvedic-products-not-part-of-india-uk-fta-dialogue/article67566661.ece,,
45,The Hindu,"India is in a remarkable position towards transition in energy, says N ...",https://www.thehindu.com/news/national/tamil-nadu/india-is-in-a-remarkable-position-towards-transition-in-energy-says-n-chandrasekaran/article67567079.ece,,
46,The Hindu,Australia proud of professor assisting Silkyara rescue efforts: envoy ...,https://www.thehindu.com/news/national/australia-proud-of-professor-assisting-silkyara-rescue-efforts-envoy/article67567025.ece,,
47,The Hindu,Virtual G20 Summit: India to host G20 summit Wednesday; Trudeau ...,https://www.thehindu.com/news/national/india-to-host-virtual-g20-summit-wednesday-trudeau-to-attend/article67561061.ece,,
48,The Hindu,Latin American precursors of Javier Milei's dollarisation plan for ...,https://www.thehindu.com/news/international/latin-american-precursors-of-javier-mileis-dollarisation-plan-for-argentine-economy/article67558335.ece,,
49,The Hindu,"Tightening of norms on unsecured lending pre-emptive, in the ...",https://www.thehindu.com/business/tightening-of-norms-on-unsecured-lending-pre-emptive-in-the-interest-of-sustainability-rbi-governor-shaktikanta-das/article67561270.ece,,
50,The Hindu,"Congress puts up united front, urges Rajasthan voters to break ...",https://www.thehindu.com/elections/rajasthan-assembly/congress-puts-up-united-front-urges-rajasthan-voters-to-break-tradition-by-voting-for-the-incumbent-government/article67567244.ece,,
51,The Hindu,Indian govt. has asked Google to take down over 1.1 lakh content ...,https://www.thehindu.com/sci-tech/technology/indian-govt-has-asked-google-to-take-down-over-11-lakh-content-since-2013-report/article67565272.ece,,
52,The Hindu,L&T Finance signs financing pact with ADB for $125 million - The ...,https://www.thehindu.com/business/lt-finance-signs-financing-pact-with-adb-for-125-million/article67566703.ece,,
53,The Hindu,Rajasthan set to break tradition by repeating Congress government ...,https://www.thehindu.com/elections/rajasthan-assembly/rajasthan-set-to-break-tradition-by-repeating-congress-government-says-mallikarjun-kharge/article67565629.ece,,
54,The Hindu,Ayurvedic products not part of India-U.K. FTA dialogue - The Hindu,https://www.thehindu.com/news/national/ayurvedic-products-not-part-of-india-uk-fta-dialogue/article67566661.ece,,
55,The Hindu,"India is in a remarkable position towards transition in energy, says N ...",https://www.thehindu.com/news/national/tamil-nadu/india-is-in-a-remarkable-position-towards-transition-in-energy-says-n-chandrasekaran/article67567079.ece,,
56,The Hindu,Australia proud of professor assisting Silkyara rescue efforts: envoy ...,https://www.thehindu.com/news/national/australia-proud-of-professor-assisting-silkyara-rescue-efforts-envoy/article67567025.ece,,
57,The Hindu,Virtual G20 Summit: India to host G20 summit Wednesday; Trudeau ...,https://www.thehindu.com/news/national/india-to-host-virtual-g20-summit-wednesday-trudeau-to-attend/article67561061.ece,,
58,The Hindu,Latin American precursors of Javier Milei's dollarisation plan for ...,https://www.thehindu.com/news/international/latin-american-precursors-of-javier-mileis-dollarisation-plan-for-argentine-economy/article67558335.ece,,
59,The Hindu,Suryakumar to lead a young India T20I team against Australia; Axar ...,https://www.thehindu.com/sport/cricket/suryakumar-to-lead-india-t20i-team-against-australia-axar-returns-sanju-samson-not-in/article67555899.ece,,
60,The Hindu,"India's economy to grow 7% in Q2, but likely to slow down in H2 ...",https://www.thehindu.com/business/indias-economy-expected-to-grow-7-in-q2-beating-rbis-estimate/article67558460.ece,,
61,The Hindu,"Creating 25,000 jobs per month in the IT sector must be our goal ...",https://www.thehindu.com/news/cities/chennai/creating-25000-jobs-per-month-in-the-it-sector-must-be-our-goal-says-palanivel-thiaga-rajan/article67559123.ece,,
62,The Hindu,IFFI 2023: India increases incentive for foreign film production from ...,https://www.thehindu.com/entertainment/movies/iffi-2023-india-increases-incentive-for-foreign-film-production-from-30-to-40/article67558138.ece,,
63,The Hindu,CII calls for improvement of infra and logistics in Visakhapatnam to ...,https://www.thehindu.com/news/cities/Visakhapatnam/cii-calls-for-improvement-of-infra-and-logistics-in-visakhapatnam-to-spur-economic-growth-of-andhra-pradesh/article67557969.ece,,
64,The Hindu,India and Japan Converge in Southeast Asia - The Hindu,https://www.thehindu.com/opinion/op-ed/india-and-japan-converge-in-southeast-asia/article67557706.ece,,
65,The Hindu,"No ticket, only sops: women still fall behind in the electoral ...",https://www.thehindu.com/elections/come-poll-season-parties-woo-women-voters-but-are-not-interested-in-fielding-them-as-candidates/article67547723.ece,,
66,The Hindu,Coop societies integral part of socio-economic structure: Santosh ...,https://www.thehindu.com/news/national/karnataka/coop-societies-integral-part-of-socio-economic-structure-santosh-lad/article67544708.ece,,
67,The Hindu,India 'strongly condemns' civilian casualties in Israel-Hamas conflict ...,https://www.thehindu.com/news/national/india-strongly-condemns-civilian-casualties-in-israel-hamas-conflict-pm-modi/article67543241.ece,,
68,The Hindu,World's largest planned urbanisation programme being undertaken ...,https://www.thehindu.com/news/national/worlds-largest-planned-urbanisation-programme-being-undertaken-by-india-says-puri/article67540804.ece,,
69,The Hindu,KAHER to set up incubation and innovation centre in Belagavi for ...,https://www.thehindu.com/news/national/karnataka/kaher-to-set-up-an-incubation-and-innovation-centre-in-belagavi-for-healthcare/article67543688.ece,,
70,The Hindu,Six Indians in ICC's Team of World Cup; Rohit named captain - The ...,https://www.thehindu.com/sport/cricket/icc-world-cup/six-indians-in-iccs-team-of-world-cup-rohit-named-captain/article67553808.ece,,
